"","year","state","district","candidate","party","candidatevotes","totalvotes"
"25417",2012,"Washington",10,"Denny Heck","democrat",163036,278417
"25418",2012,"West Virginia",1,"David B. McKinley","republican",133809,214151
"25419",2012,"West Virginia",1,"Sue Thorn","democrat",80342,214151
"25420",2012,"West Virginia",2,"Shelley Moore Capito","republican",158206,226766
"25421",2012,"West Virginia",2,"Howard Swint","democrat",68560,226766
"25422",2012,"West Virginia",3,"Nick J. Rahall II","democrat",108199,200437
"25423",2012,"West Virginia",3,"Rick Snuffer","republican",92238,200437
"25424",2012,"Wisconsin",1,"Rob Zerban","democrat",158414,365058
"25425",2012,"Wisconsin",1,"Paul Ryan","republican",200423,365058
"25426",2012,"Wisconsin",1,"scatter","",167,365058
"25427",2012,"Wisconsin",1,"Keith Deschler","libertarian",6054,365058
"25428",2012,"Wisconsin",2,"Mark Pocan","democrat",265422,390898
"25429",2012,"Wisconsin",2,"Chad Lee","republican",124683,390898
"25430",2012,"Wisconsin",2,"scatter","",787,390898
"25431",2012,"Wisconsin",2,NA,NA,6,390898
"25432",2012,"Wisconsin",3,"Ron Kind","democrat",217712,339764
"25433",2012,"Wisconsin",3,"Ray Boland","republican",121713,339764
"25434",2012,"Wisconsin",3,"scatter","",339,339764
"25435",2012,"Wisconsin",4,"Robert R. Raymond","independent",9277,325788
"25436",2012,"Wisconsin",4,"Dan Sebring","republican",80787,325788
"25437",2012,"Wisconsin",4,"Gwen Moore","democrat",235257,325788
"25438",2012,"Wisconsin",4,"scatter","",467,325788
"25439",2012,"Wisconsin",5,"Dave Heaster","democrat",118478,369664
"25440",2012,"Wisconsin",5,"scatter","",851,369664
"25441",2012,"Wisconsin",5,"F. James Sensenbrenner, Jr.","republican",250335,369664
"25442",2012,"Wisconsin",6,"Thomas E. Petri","republican",223460,359745
"25443",2012,"Wisconsin",6,"Joe Kallas","democrat",135921,359745
"25444",2012,"Wisconsin",6,"scatter","",364,359745
"25445",2012,"Wisconsin",7,"scatter","",405,359669
"25446",2012,"Wisconsin",7,"Sean P. Duffy","republican",201720,359669
"25447",2012,"Wisconsin",7,"Pat Kreitlow","democrat",157524,359669
"25448",2012,"Wisconsin",7,NA,NA,20,359669
"25449",2012,"Wisconsin",8,"Reid J. Ribble","republican",198874,355464
"25450",2012,"Wisconsin",8,"Jamie Wall","democrat",156287,355464
"25451",2012,"Wisconsin",8,"scatter","",303,355464
"25452",2012,"Wyoming",0,"Don Wills","country party",3775,250700
"25453",2012,"Wyoming",0,"Daniel Clyde Cummings","constitution",4963,250700
"25454",2012,"Wyoming",0,"Richard P. Brubaker","libertarian",8442,250700
"25455",2012,"Wyoming",0,"Chris Henrichsen","democrat",57573,250700
"25456",2012,"Wyoming",0,"Cynthia M. Lummis","republican",166452,250700
"25457",2012,"Wyoming",0,NA,NA,416,250700
"25458",2012,"Wyoming",0,"Over Vote","",600,250700
"25459",2012,"Wyoming",0,"Blank Vote","",8479,250700
"29578",2012,"Connecticut",3,NA,NA,1,291301
"29579",2012,"Connecticut",3,"Rosa L. DeLauro","working families",20410,291301
"29580",2012,"Connecticut",3,"Wayne Winsley","republican",73726,291301
"29581",2012,"Connecticut",3,"Rosa L. DeLauro","democrat",197163,291301
